RX Date/Time,Multiple Plot/Road Speed,Multiple Plot/Accelerator Pedal,Multiple Plot/Engine Load,Multiple Plot/Oil Pressure,Multiple Plot/Boost Pressure,Multiple Plot/Oil Temperature,Multiple Plot/Fuel Rate,Multiple Plot/Fuel Economy,Multiple Plot/Engine Speed,Multiple Plot/Trip Distance
2025/04/03 09:58:54::831,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2025/04/03 09:58:54::952,0,0,0,-1,-1,-1,0,0,0,-1
2025/04/03 09:58:55::116,0,0,0,-1,-1,-1,0,0,0,-1
2025/04/03 09:58:55::202,0,0,0,-1,-1,-1,0,0,0,-1
2025/04/03 09:58:55::233,0,0,0,-1,-1,-1,0,0,0,-1
2025/04/03 09:58:55::379,0,0,0,-1,-1,-1,0,0,0,-1
2025/04/03 09:58:55::411,0,0,0,0,0,-1,0,0,0,-1
2025/04/03 09:58:55::457,0,0,0,0,0,-1,0,0,0,-1
2025/04/03 09:58:55::509,0,0,0,0,0,-1,0,0,0,-1
2025/04/03 09:58:55::518,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:55::545,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:55::569,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:55::605,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:55::919,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::201,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::278,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::392,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::466,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::468,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::469,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::470,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::471,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::607,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::703,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::783,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::797,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::902,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::906,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:56::986,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::082,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::103,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::145,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::146,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::183,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::200,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::311,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::360,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::401,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::486,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::511,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::529,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::591,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::596,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::694,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::719,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::795,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::881,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::898,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:57::977,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::003,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::090,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::106,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::142,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::186,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::291,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::298,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::331,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::349,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::377,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::393,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::496,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::510,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::538,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::585,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::688,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::714,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::790,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::806,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::889,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::910,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:58::985,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::083,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::109,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::129,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::148,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::195,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::293,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::320,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::339,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::365,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::398,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::481,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::498,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::529,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::578,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::600,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::704,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::706,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::785,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::883,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::906,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::979,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:58:59::997,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::097,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::117,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::139,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::185,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::284,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::311,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::329,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::353,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::389,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::393,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::499,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::504,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::548,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::589,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::609,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::689,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::718,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:00::778,0,0,0,0,0,36.94444444444444,0,0,0,-1
